lfn_sentence,eng_sentence
Do tu es?,Where are you?
Me es ge.,I'm gay.
El es ge.,He is gay.
Tu es ge?,Are you gay?
Me ama tu.,I love you.
Do es Jim?,Where is Jim?
Do vos es?,Where are you?
El es asi?,Is she here?
Lo es asi.,It's here.
Tu es asi?,Are you here?
Los es ge.,They're gay.
Ama e pas.,Love and Peace.
Ci ama me?,Who loves me?
Cafe o te?,Coffee or tea?
El es mor.,He is dead.
Do tu vade?,Where are you going?
Lodas a tu!,Congratulations to you!
Es o no es?,To be or not to be?
Lo es clar.,It's clear.
Tu es bela.,You are beautiful.
Me es bela.,I'm beautiful.
El es bela?,Is she beautiful?
El ia tufa.,He dived.
Do tu nada?,Where do you swim?
Me ama vos.,I love you.
Me fa juna.,I'm fasting.
Tu es saja.,You're wise.
El ia bevi.,He used to drink.
Me no fumi.,I don't smoke.
Tu ia peta.,You farted.
Me odia el.,I hate him.
Lo es roja.,It's red.
Lo es tabu.,It's taboo.
Me ave pan.,I have bread.
Me sabe lo.,I know it.
Do es Paris?,Where is Paris?
Tu irita me.,You piss me off!
Vos es bela.,You are beautiful.
Ama no mori.,Love doesn't die.
Me ia finje.,I was bluffing.
El tufa bon.,He is good at diving.
Me nada mal.,I am poor at swimming.
Lo es vacua.,It's empty.
Mostra a me.,Show me.
Do vos nada?,Where do you swim?
Me ia dansa.,I was dancing.
Me no es ge.,I'm not gay.
Per no cosa.,You're welcome.
Lodas a los!,Congratulations to them.
El dormi ja.,He's already sleeping.
Tom ia mori.,Tom died.
Nun es fame.,Nobody's hungry.
Tom ia fumi.,Tom used to smoke.
El ia plora.,She cried.
Me ia canta.,I sang.
Tom ia bava.,Tom salivated.
Tom va nada.,Tom will swim.
Tom ia cose.,Tom was sewing.
Esta es blu?,Is this blue?
Acel es blu?,Is that blue?
Tom ia bevi.,Tom drank.
Fio de puta!,Son of a bitch!
Me va canta.,I'll sing.
Tu ave acua.,You have water.
Me es umana.,I am human.
La can dormi.,The dog sleeps.
Cual es esta?,What is it?
Tu es triste.,You're sad.
Lo es triste.,It's sad.
Esta es fria.,This is cold.
Esta es vera.,That's true.
Me ama canes.,I love dogs.
Me nada dial.,I swim every day.
El nada aora.,He's swimming now.
A do el vade?,Where is she going?
Me jua tenis.,I play tennis.
El es tan ge.,He is so gay.
Tom va plora.,Tom will cry.
Ci es asente?,Who is absent?
Nos vole pas.,We want peace.
Los vole pas.,They want peace.
Algun ia era.,Somebody made a mistake.
Do la sol es?,Where is the sun?
Me boli acua.,I am boiling water.
Bevi tu lete.,Drink your milk.
Vade a scola.,Go to school.
Cadun ama me.,Everybody likes me.
Ci va cosini?,Who'll cook?
Tu vole veni?,Would you like to come?
Abri tua cor.,Open your heart.
Esce tu fumi?,Do you smoke?
Me vole mori.,I want to die.
Me ama gatos.,I love cats.
La gato come.,The cat eats.
Nos come asi.,We eat here.
Los ia plora.,They cried.
Nos ia pasea.,We walked.
Nos ia balia.,We yawned.
Tom ia sputa.,Tom spat.
Tom ia canta.,Tom sang.
El no es fea.,She is not ugly.
